Center;Количество
смертная;8
смертной;8
невыразимой;5
неизбывной;5
острой;5
вселенская;4
Просто;4
смутной;4
страшной;4
безысходной;3
беспричинная;3
вечной;3
невыносимая;3
невыносимой;3
необъяснимая;3
полные;3
привычной;3
пронзительная;3
собачьей;3
черной;3
безотчётная;2
бессильная;2
великой;2
вселенской;2
глухой;2
глухую;2
жуткая;2
звериной;2
лагерной;2
любовной;2
могильной;2
мучительная;2
настоящая;2
невыразимую;2
неизбывная;2
неизвестной;2
неожиданной;2
непонятной;2
осенней;2
острая;2
оцепенелой;2
полно;2
последней;2
предсмертной;2
русская;2
русской;2
русскую;2
сладкая;2
сладкой;2
смертельная;2
смертельной;2
смертельную;2
смертную;2
Странная;2
тяжёлой;2
ужасная;2
щемящей;2
экзистенциальной;2
эмигрантской;2
яростной;2
бездетная;1
безмерной;1
безнадежная;1
Безнадежная;1
безнадёжная;1
безнадежной;1
безумная;1
безымённой;1
безысходная;1
бесконечная;1
Бесконечная;1
беспомощной;1
беспошлинная;1
беспредметной;1
беспричинной;1
беспросветная;1
беспросветную;1
бесслезная;1
бессмысленной;1
божья;1
болезненной;1
больного;1
больше;1
большую;1
ватная;1
вдовью;1
вековечной;1
вечную;1
видно;1
внезапной;1
внутренней;1
внутренняя;1
Вовкина;1
Вознесенской;1
вселенскую;1
вчерашней;1
высокому;1
высшая;1
вязкая;1
гибельная;1
глубинная;1
Глубокая;1
глубокой;1
глупую;1
глухая;1
гнетущей;1
гоголевской;1
головная;1
горизонтальною;1
горькая;1
горькую;1
горячая;1
гриппозной;1
грозная;1
грубую;1
Двойною;1
депрессивной;1
деревенской;1
детскую;1
дикая;1
дикой;1
Достоевского;1
древнерусской;1
древняя;1
дремучей;1
духов;1
Душевная;1
душевной;1
душевную;1
Единому;1
ежевечерней;1
естественная;1
жгучая;1
жеманная;1
женская;1
животной;1
жизненной;1
жуткую;1
запойной;1
застарелой;1
звериная;1
зевотной;1
зеленая;1
Зеленая;1
злой;1
измученный;1
Измученный;1
канонической;1
Катиной;1
каторжной;1
классовую;1
конечно;1
коровьей;1
короче;1
коштырской;1
легкой;1
леденящей;1
ледяная;1
личную;1
любовный;1
людской;1
мандельштамовская;1
материнской;1
материнскую;1
метафизической;1
мечтательной;1
мировую;1
монотонной;1
мутная;1
Мутная;1
мучительной;1
наводящая;1
наводящей;1
надгробной;1
надменную;1
наифальшивейшей;1
национальной;1
небывалой;1
неведомою;1
невнятной;1
Невыносимая;1
нежданная;1
неизбывную;1
неизъяснимой;1
неимоверной;1
неисцелимой;1
нем;1
ненужной;1
необыкновенной;1
неопределённая;1
непередаваемой;1
непереносимая;1
неподъёмной;1
непонятная;1
Непонятная;1
неправильная;1
непроглядная;1
нескончаемый;1
неслыханной;1
нестерпимой;1
нестерпимую;1
несущей;1
неудержимой;1
неутоленной;1
нечеловеческая;1
ностальгической;1
ноющая;1
нужна;1
нынешнюю;1
обреченную;1
общем;1
одержимому;1
одинокая;1
одинокой;1
озёрную;1
особая;1
особенная;1
острую;1
отвлеченная;1
отрешённой;1
отчаянная;1
оцепенелая;1
плаксивой;1
плохо;1
площадная;1
Поджелудочная;1
полевая;1
полная;1
полного;1
полный;1
Полный;1
полными;1
половую;1
польская;1
последнюю;1
послелюбовной;1
постепенно;1
постоянная;1
постоянной;1
потаенной;1
похмельная;1
похмельной;1
предсердечной;1
предсердной;1
предутреннюю;1
прежней;1
Привычная;1
призывную;1
прикандален;1
природная;1
притворной;1
просто;1
просторнее;1
психоделическая;1
пуританской;1
пустую;1
пьяной;1
рабскую;1
равно;1
различимой;1
религиозною;1
романтической;1
российскую;1
сверкающая;1
связана;1
сегодняшнюю;1
семейной;1
сентиментальной;1
серая;1
сильная;1
симптоматическую;1
сиротская;1
скрытой;1
славянская;1
славянской;1
сладкую;1
сладостной;1
смутную;1
совковой;1
Солдатская;1
солдатскую;1
сосущее;1
сосущей;1
стариковской;1
странной;1
страстную;1
страшная;1
страшную;1
Страшную;1
стыдливой;1
сумрачной;1
сыт;1
тайная;1
телесная;1
тихая;1
тихой;1
томительной;1
топологической;1
тупую;1
тюремной;1
тягостной;1
тяжёлая;1
тяжёлую;1
тянущая;1
убийственная;1
убитыми;1
угнетённый;1
ужасной;1
усталой;1
устранимой;1
физиологическая;1
физическая;1
физической;1
Чёрная;1
чёрную;1
Чудовищную;1
чужеродной;1
щемящая;1
щенячьей;1
эмигрантскую;1
